techno,couvs_OPE_BINOMES,superficie,pct.superficie
4G,1 opérateur,70412545892.7392,0.129819744349419
4G,3 opérateurs,119864171180.265,0.220993799641628
4G,4 opérateurs,175916108293.535,0.324336862359727
4G,ByTel + Free,1936250383.08589,0.00356986850200788
4G,ByTel + SFR,41212416635.4829,0.0759834106806786
4G,Orange + ByTel,6165772250.80437,0.0113678459877802
4G,Orange + Free,19950298629.7957,0.0367824034052105
4G,Orange + SFR,13853653103.5869,0.0255420064906167
4G,SFR + Free,4129772676.34123,0.00761406971252716
4G,Zone blanche,88946043416.9994,0.163989988870405
