CODE_INSEE,techno,OPE,superficie,TOT.superficie,pct.superficie
97101,4G,DIG,65010153.7743,70037724.644,0.928216244955772
97101,4G,FRE,0,70037724.644,0
97101,4G,OC,69891661.8351,70037724.644,0.997914512362553
97101,4G,OMT,69947868.7338,70037724.644,0.998717035559668
97101,4G,ORA,0,70037724.644,0
97101,4G,SRR,0,70037724.644,0
97102,4G,DIG,57842931.7213,63833279.3663,0.906156354420943
97102,4G,FRE,0,63833279.3663,0
97102,4G,OC,41924948.5947,63833279.3663,0.656788261717191
97102,4G,OMT,63605790.138,63833279.3663,0.996436197065882
97102,4G,ORA,0,63833279.3663,0
97102,4G,SRR,0,63833279.3663,0
97103,4G,DIG,45318743.8341,46421761.5073,0.976239211150431
97103,4G,FRE,0,46421761.5073,0
97103,4G,OC,46199656.7029,46421761.5073,0.995215502445656
97103,4G,OMT,46239416.142,46421761.5073,0.996071985220308
97103,4G,ORA,0,46421761.5073,0
97103,4G,SRR,0,46421761.5073,0
97104,4G,DIG,16665281.698,24252575.0216,0.687155144687005
97104,4G,FRE,0,24252575.0216,0
97104,4G,OC,21950412.5029,24252575.0216,0.90507554283825
97104,4G,OMT,22086464.7925,24252575.0216,0.910685350847454
97104,4G,ORA,0,24252575.0216,0
97104,4G,SRR,0,24252575.0216,0
97105,4G,DIG,4222176.83248,4478237.47169,0.942821111915405
97105,4G,FRE,0,4478237.47169,0
97105,4G,OC,4456018.15311,4478237.47169,0.99503837866561
97105,4G,OMT,4456018.15311,4478237.47169,0.99503837866561
97105,4G,ORA,0,4478237.47169,0
97105,4G,SRR,0,4478237.47169,0
97106,4G,DIG,24633681.2926,43413072.1972,0.567425433074713
97106,4G,FRE,0,43413072.1972,0
97106,4G,OC,31555222.7418,43413072.1972,0.726859932843804
97106,4G,OMT,41542831.5019,43413072.1972,0.956919872272467
97106,4G,ORA,0,43413072.1972,0
97106,4G,SRR,0,43413072.1972,0
97107,4G,DIG,54931918.9046,103012474.981,0.533255015130273
97107,4G,FRE,0,103012474.981,0
97107,4G,OC,88772709.8488,103012474.981,0.861766595406756
97107,4G,OMT,90340068.9301,103012474.981,0.876981831052624
97107,4G,ORA,0,103012474.981,0
97107,4G,SRR,0,103012474.981,0
97108,4G,DIG,0,46129341.9975,0
97108,4G,FRE,0,46129341.9975,0
97108,4G,OC,33307875.9424,46129341.9975,0.722054000774716
97108,4G,OMT,43994598.3137,46129341.9975,0.953722650457149
97108,4G,ORA,0,46129341.9975,0
97108,4G,SRR,0,46129341.9975,0
97109,4G,DIG,12938531.1839,22628132.6575,0.571789611619215
97109,4G,FRE,0,22628132.6575,0
97109,4G,OC,19262178.5962,22628132.6575,0.851249145820065
97109,4G,OMT,22609992.8482,22628132.6575,0.999198351469184
97109,4G,ORA,0,22628132.6575,0
97109,4G,SRR,0,22628132.6575,0
97110,4G,DIG,0,21177664.8662,0
97110,4G,FRE,0,21177664.8662,0
97110,4G,OC,12541460.9621,21177664.8662,0.592202258432961
97110,4G,OMT,2120653.61072,21177664.8662,0.100136328727376
97110,4G,ORA,0,21177664.8662,0
97110,4G,SRR,0,21177664.8662,0
97111,4G,DIG,12190003.4692,31378383.4032,0.388484113810556
97111,4G,FRE,0,31378383.4032,0
97111,4G,OC,22604818.2171,31378383.4032,0.720394608180953
97111,4G,OMT,29142165.6404,31378383.4032,0.928733812253312
97111,4G,ORA,0,31378383.4032,0
97111,4G,SRR,0,31378383.4032,0
97112,4G,DIG,0,55571382.0897,0
97112,4G,FRE,0,55571382.0897,0
97112,4G,OC,48658220.9251,55571382.0897,0.875598538228882
97112,4G,OMT,54485643.0837,55571382.0897,0.980462263755696
97112,4G,ORA,0,55571382.0897,0
97112,4G,SRR,0,55571382.0897,0
97113,4G,DIG,35457132.9949,45436200.2578,0.78037187955243
97113,4G,FRE,0,45436200.2578,0
97113,4G,OC,44929692.7315,45436200.2578,0.988852335287147
97113,4G,OMT,45366297.1988,45436200.2578,0.998461511776879
97113,4G,ORA,0,45436200.2578,0
97113,4G,SRR,0,45436200.2578,0
97114,4G,DIG,30871979.1441,60010145.3854,0.514445998186349
97114,4G,FRE,0,60010145.3854,0
97114,4G,OC,56520515.7711,60010145.3854,0.941849339109433
97114,4G,OMT,57418705.9774,60010145.3854,0.956816645062978
97114,4G,ORA,0,60010145.3854,0
97114,4G,SRR,0,60010145.3854,0
97115,4G,DIG,48175876.4053,65402103.6774,0.736610501749769
97115,4G,FRE,0,65402103.6774,0
97115,4G,OC,62841537.4803,65402103.6774,0.960848871012924
97115,4G,OMT,64953119.1781,65402103.6774,0.993135014410016
97115,4G,ORA,0,65402103.6774,0
97115,4G,SRR,0,65402103.6774,0
97116,4G,DIG,64749210.8623,69422696.3313,0.932680726679109
97116,4G,FRE,0,69422696.3313,0
97116,4G,OC,69006344.3719,69422696.3313,0.994002653578693
97116,4G,OMT,69328403.5391,69422696.3313,0.998641758427964
97116,4G,ORA,0,69422696.3313,0
97116,4G,SRR,0,69422696.3313,0
97117,4G,DIG,70459019.4087,83014977.6715,0.84875068794832
97117,4G,FRE,0,83014977.6715,0
97117,4G,OC,81850624.1603,83014977.6715,0.985974175457741
97117,4G,OMT,82774857.9968,83014977.6715,0.997107513831418
97117,4G,ORA,0,83014977.6715,0
97117,4G,SRR,0,83014977.6715,0
97118,4G,DIG,78702879.0164,131141333.827,0.600137856766226
97118,4G,FRE,0,131141333.827,0
97118,4G,OC,117384149.137,131141333.827,0.895096501701376
97118,4G,OMT,122595042.746,131141333.827,0.934831446107799
97118,4G,ORA,0,131141333.827,0
97118,4G,SRR,0,131141333.827,0
97119,4G,DIG,59758650.9237,73895952.3059,0.808686390241279
97119,4G,FRE,0,73895952.3059,0
97119,4G,OC,69988954.7861,73895952.3059,0.947128396104477
97119,4G,OMT,73621591.4027,73895952.3059,0.996287199844665
97119,4G,ORA,0,73895952.3059,0
97119,4G,SRR,0,73895952.3059,0
97120,4G,DIG,2545810.00751,2766827.03457,0.92011895781756
97120,4G,FRE,0,2766827.03457,0
97120,4G,OC,2644202.21212,2766827.03457,0.955680343976017
97120,4G,OMT,2644202.2119,2766827.03457,0.955680343896503
97120,4G,ORA,0,2766827.03457,0
97120,4G,SRR,0,2766827.03457,0
97121,4G,DIG,31850546.2485,59693480.7787,0.533568252898146
97121,4G,FRE,0,59693480.7787,0
97121,4G,OC,25582107.2195,59693480.7787,0.428557807080137
97121,4G,OMT,53400878.3736,59693480.7787,0.894584763310614
97121,4G,ORA,0,59693480.7787,0
97121,4G,SRR,0,59693480.7787,0
97122,4G,DIG,42506184.8006,44124918.1241,0.963314757458646
97122,4G,FRE,0,44124918.1241,0
97122,4G,OC,37569872.5871,44124918.1241,0.851443451553516
97122,4G,OMT,44086425.0994,44124918.1241,0.999127635215283
97122,4G,ORA,0,44124918.1241,0
97122,4G,SRR,0,44124918.1241,0
97124,4G,DIG,18764621.0455,34385357.6335,0.545715453813356
97124,4G,FRE,0,34385357.6335,0
97124,4G,OC,27815917.6551,34385357.6335,0.808946585682747
97124,4G,OMT,33047428.116,34385357.6335,0.961090138082597
97124,4G,ORA,0,34385357.6335,0
97124,4G,SRR,0,34385357.6335,0
97125,4G,DIG,55931235.4184,60859633.1873,0.919020251835359
97125,4G,FRE,0,60859633.1873,0
97125,4G,OC,57216463.1967,60859633.1873,0.940138153981509
97125,4G,OMT,60561986.8464,60859633.1873,0.995109297816765
97125,4G,ORA,0,60859633.1873,0
97125,4G,SRR,0,60859633.1873,0
97126,4G,DIG,0,57351726.259,0
97126,4G,FRE,0,57351726.259,0
97126,4G,OC,44916381.2294,57351726.259,0.783174006420625
97126,4G,OMT,54995251.6375,57351726.259,0.958911879812332
97126,4G,ORA,0,57351726.259,0
97126,4G,SRR,0,57351726.259,0
97128,4G,DIG,73331889.4113,80414808.0261,0.911920219811989
97128,4G,FRE,0,80414808.0261,0
97128,4G,OC,78294333.7732,80414808.0261,0.973630798792534
97128,4G,OMT,80322779.3568,80414808.0261,0.998855575589136
97128,4G,ORA,0,80414808.0261,0
97128,4G,SRR,0,80414808.0261,0
97129,4G,DIG,69088519.2267,122485318.453,0.564055513748863
97129,4G,FRE,0,122485318.453,0
97129,4G,OC,112062867.77,122485318.453,0.914908571781203
97129,4G,OMT,117519831.173,122485318.453,0.959460551332074
97129,4G,ORA,0,122485318.453,0
97129,4G,SRR,0,122485318.453,0
97130,4G,DIG,0,6768900.47711,0
97130,4G,FRE,0,6768900.47711,0
