techno,couvs_OPE_BINOMES,superficie,pct.superficie
2G,1 opérateur,16008459957.7831,0.0291663956660483
2G,3 opérateurs,66137831299.9422,0.120498921275099
2G,4 opérateurs,391676135162.786,0.71360900181734
2G,ByTel + Free,0.047500059008598,8.65420858008174e-14
2G,ByTel + SFR,8382451121.89433,0.0152722926950644
2G,Orange + ByTel,5724820535.9113,0.0104302588323825
2G,Orange + Free,35441017747.0395,0.0645712797573031
2G,Orange + SFR,1706288164.88138,0.00310874849101461
2G,Zone blanche,23789580042.8598,0.0433431014656617
