an,nb_OPE_couv,pop,pct_pop,nb_OPE_couv.f
2019,0,310932,0.00502493226614907,0
2019,1,423999,0.00685219358546222,1
2019,2,613456,0.00991398392015857,2
2019,3,3944521,0.0637468991528778,3
2019,4,56584941,0.914461991075352,4
